{'loss': 0.1276, 'grad_norm': 2.140625, 'learning_rate': 1.715625e-05, 'logps/policy': -31.219688415527344, 'logps/anchor': 0.12357447296380997}
{'loss': 0.1046, 'grad_norm': 1.8203125, 'learning_rate': 1.7125e-05, 'logps/policy': -32.39942169189453, 'logps/anchor': 0.09706521779298782}
{'loss': 0.1074, 'grad_norm': 2.09375, 'learning_rate': 1.7093750000000002e-05, 'logps/policy': -23.82781219482422, 'logps/anchor': 0.10832691192626953}
{'loss': 0.1568, 'grad_norm': 2.84375, 'learning_rate': 1.70625e-05, 'logps/policy': -24.804670333862305, 'logps/anchor': 0.17353585362434387}
{'loss': 0.0897, 'grad_norm': 1.84375, 'learning_rate': 1.703125e-05, 'logps/policy': -37.01307678222656, 'logps/anchor': 0.07471413165330887}
{'loss': 0.0887, 'grad_norm': 2.046875, 'learning_rate': 1.7e-05, 'logps/policy': -22.195964813232422, 'logps/anchor': 0.0826750248670578}
{'loss': 0.0903, 'grad_norm': 1.7734375, 'learning_rate': 1.696875e-05, 'logps/policy': -30.376155853271484, 'logps/anchor': 0.08321915566921234}
{'loss': 0.107, 'grad_norm': 1.890625, 'learning_rate': 1.6937500000000002e-05, 'logps/policy': -33.2607536315918, 'logps/anchor': 0.098867267370224}
{'loss': 0.0935, 'grad_norm': 2.015625, 'learning_rate': 1.690625e-05, 'logps/policy': -25.844778060913086, 'logps/anchor': 0.08155054599046707}
{'loss': 0.1574, 'grad_norm': 2.375, 'learning_rate': 1.6875e-05, 'logps/policy': -37.74544143676758, 'logps/anchor': 0.16130588948726654}
{'loss': 0.1889, 'grad_norm': 2.859375, 'learning_rate': 1.684375e-05, 'logps/policy': -27.54256820678711, 'logps/anchor': 0.20962102711200714}
{'loss': 0.2042, 'grad_norm': 3.09375, 'learning_rate': 1.6812500000000002e-05, 'logps/policy': -33.58696365356445, 'logps/anchor': 0.22574453055858612}
{'loss': 0.1076, 'grad_norm': 1.8046875, 'learning_rate': 1.678125e-05, 'logps/policy': -21.850032806396484, 'logps/anchor': 0.113619863986969}
{'loss': 0.1004, 'grad_norm': 2.3125, 'learning_rate': 1.675e-05, 'logps/policy': -22.02457046508789, 'logps/anchor': 0.10390811413526535}
